Name;Kategorie;Art;Attribute für die Handlung;Limit;Benötigte Marken;Attribute für die Verteidigung;Erläuterung
Matrixwahrnehmung;Matrixhandlung;Komplexe Handlung;Computer + Intuition;Datenverarbeitung;Keine;Logik + Schleicher;Diese wichtige und vielseitige Handlung wird zum Finden von Icons und zum Analysieren von Objekten in der Matrix verwendet. Wenn ein Charakter diese Handlung durchführt, um ein Matrixobjekt zu analysieren oder in der Umgebung nach Icons auf Schleichfahrt zu suchen, legt er eine Erfolgsprobe ab, deren Erfolge angeben, wie viel er heraus ndet. Für jeden Nettoerfolg kann er eine Information erhalten: die Geräteart, eine Stufe, die Anzahl an Marken auf dem Objekt, Dateien, die das Icon trägt, das benutzte Gitter, ob es in der Umgebung Icons auf Schleichfahrt gibt oder andere passende Matrixinformationen. Wenn der Charakter etwas über Marken erfährt, kann er nur Marken erkennen, die er bereits einmal gesehen hat oder die von Personas platziert wurden, auf denen er selbst Marken platziert hat. Ansonsten erhält er nur die Zahl der Marken als Information. Wenn der Charakter versucht, ein Icon zu erkennen, das mehr als 100 Meter entfernt ist, legt er eine Erfolgsprobe ab: Der erste Erfolg lässt ihn das Ziel erkennen, zusätzliche Erfolge können wie oben erwähnt Zusatzinformationen geben. Wenn er nach einem Icon sucht, das auf Schleichfahrt läuft (nachdem er erfahren hat, dass es ein solches gibt), wird die Probe zur Vergleichenden Probe, wobei das Ziel sich mit Logik + Schleicher wehrt. Nettoerfolge werden wie beim Entdecken eines entfernten Ziels behandelt: Der erste Nettoerfolg lässt den Charakter das Ziel erkennen, weitere Nettoerfolge liefern Zusatzinformationen.
Nachricht übermitteln;Matrixhandlung;Einfache Handlung;ohne;ohne;1;ohne;Der Charakter schickt eine Text- oder Audionachricht (einen kurzen Satz), ein Bild oder eine Datei durch die Matrix zu einem User, dessen Kommcode er hat. Wenn der Charakter die Matrix durch ein DNI benutzt, kann er – selbst in der AR – längere und kompliziertere Botschaften versenden (etwa einen Absatz an Text). Außerdem kann er diese Handlung verwenden, um eine Live-Übertragung für einen oder mehrere Empfänger zugänglich zu machen, die von einem digitalen Aufzeichnungsgerät, das er hat, aufgezeichnet wird. Drohnen kann man mit dieser Handlung auch Befehle übermitteln.
Overwatch-Wert bestimmen;Matrixhandlung;Einfache Handlung;Elektronische Kriegsführung + Intuition;Schleicher;Keine;gegen 6 Würfel;Der Charakter kann heraus nden, wie dicht ihm die Halbgötter des Gitters auf den Fersen sind. Das Bestimmen des OW ist eine Schleicherhandlung, also erhöht sich der OW um die Erfolge der Gegenseite. Bei einem Erfolg teilt Ihnen der Spielleiter den OW mit, der vor der Handlung bestanden hat. Dann erhöht er ihn entsprechend der Erfolge der Gegenseite.
Pilotprogramm verwirren;Matrixhandlung;Komplexe Handlung;Elektronische Kriegsführung + Logik;Datenverarbeitung;Keine;Pilot + Firewall;Der Charakter schickt einen Datenstrom an ein Gerät mit Pilotstufe (meistens eine Drohne, manchmal aber auch ein autonomes Fahrzeug oder eine Geschützstellung), der wie gültige Befehle aussieht, aber tatsächlich nur Kauderwelsch ist. Gelingt die Probe, wird das Programm verwirrt und muss sofort eine Erfolgsprobe mit Pilotstufe x 2 ablegen, um festzulegen, was es machen soll (s. SR5, S. 267). Der Schwellenwert für diese Probe entspricht der (aufgerundeten) Hälfte der Nettoerfolge des Charakters. Die Rauschunterdrückung seiner Riggerkonsole wird bei dieser Handlung als Würfelpoolbonus addiert.
Pop-up;Matrixhandlung;Einfache Handlung;Hacking + Logik oder Matrixkampf + Logik;Schleicher oder Angriff;1;Firewall + Willenskraft;Schätzchen, ich schwöre, dass ich nie auf diesen Seiten war. Wo kommt das alles her? Ich weiß nicht, warum das passiert … Das Ziel muss eine Persona sein, die nicht in der VR läuft. Wenn das Ziel AR über WiFi aktiviert hat, wird es von Spam überflutet und erhält bis zum Beginn der nächsten Kampfrunde auf alle Handlungen einen Würfelpoolmalus gleich der Anzahl der Nettoerfolge des Hackers. Wenn der Hacker Matrixkampf + Logik einsetzt, verursacht der Angriff auch Matrixschaden in Höhe der Anzahl der Nettoerfolge (dem wie gewohnt widerstanden wird, s. SR5, S. 225). Wenn der Angreifer Hacking + Logik einsetzt, kann er sofort so handeln, als wären seine Nettoerfolge die einer Matrixwahrnehmungsprobe, und damit jede relevante Information erhalten.
Programm abstürzen lassen;Matrixhandlung;Komplexe Handlung;Matrixkampf + Logik;Angriff;1;Firewall + Intuition;Der Charakter überlastet einen Teil des Hauptspeichers des Ziels und bringt damit eines seiner laufenden Programme zum Absturz. Er muss ansagen, welches Programm er abstürzen lassen will. Der Charakter kann entweder durch Matrixwahrnehmung oder dadurch, dass er das Programm in Aktion sieht, heraus nden, welche Programme das Ziel laufen lässt. Wenn der Charakter gewinnt, stürzt das Programm ab: Es wird beendet und kann erst wieder gestartet werden, wenn das zugehörige Gerät neu gestartet wird.
Rauschen unterdrücken;Matrixhandlung;Komplexe Handlung;Elektronische Kriegsführung + Logik;Datenverarbeitung;Besitzer;ohne;Diese Handlung gestattet Riggern, mit ihrer Riggerkonsole das Rauschen zwischen ihnen und ihren Fahrzeugen oder Drohnen zu senken. Der Charakter senkt den Rauschenwert um die Erfolge bei dieser Probe. Dies wirkt kumulativ mit anderen Arten der Rauschunterdrückung. Die Wirkung hält bis zum Ende der laufenden Kampfrunde an. Die Rauschunterdrückung der Riggerkonsole des Charakters wird bei dieser Handlung als Würfelpoolbonus addiert.
Signal stören;Matrixhandlung;Komplexe Handlung;Elektronische Kriegsführung + Logik;Angriff;Besitzer;ohne;Diese Handlung verwandelt das Gerät, das der Charakter benutzt, in einen kleinen Störsender. Solange der Charakter das Gerät nicht für andere Matrixhandlungen benutzt, addiert es seine Erfolge bei der Probe zum Rauschenwert für alle Matrixhandlungen mit oder gegen Geräte im Umkreis von 100 Metern. Wenn der Charakter nur bestimmte Frequenzen oder Ziele stören will, sollte er einen echten Störsender kaufen – dafür sind sie schließlich da.
Stalking;Matrixhandlung;Komplexe Handlung;Elektronische Kriegsführung + Logik;Schleicher;Keine;Firewall + Logik;Du kannst nichts machen, ohne dass ich es mitkriege. Nicht mal atmen … Das Ziel muss eine Persona oder ein Gerät sein. Gelingt die Probe, platziert der Hacker eine Marke auf dem Ziel. Der Hacker erfährt nun im Vorhinein von Matrixhandlungen, die das Ziel durchführen will, und kann versuchen, diese zu verhindern. Eine Marke, die durch diese Handlung entstanden ist, erlaubt dem Hacker, Abschneiden, Pop-up (mit Initiativeergebnis -5) oder Ersticken (mit Initiativeergebnis -10) als Unterbrechungshandlungen gegen das Ziel einzusetzen. Diese Möglichkeit besteht, solange das Ziel eine Marke des Hackers trägt
Taggen;Matrixhandlung;Einfache Handlung;Computer + Logik;Datenverarbeitung;Keine;Intuition + Schleicher;Du verfolgst und analysierst feindliche Bewegungen in Echtzeit, und deine Verbündeten haben den Vorteil im Kampf. Der Hacker kann innerhalb seines Blickfelds eine Anzahl von Zielen innerhalb eines einzelnen PANs gleich der Anzahl seiner Nettoerfolge taggen. Dieses Tag kann er dann per WiFi an Verbündete übermitteln. Das Taggen eines Ziels hebt bis zu 2 Maluswürfel durch Sichtverhältnisse oder Beleuchtung bei Fernkampfangriffen der Verbündeten gegen die betroffenen Ziele auf. Der Effekt wirkt auch bei Blind Feuern wegen Unsichtbarkeit oder des Feuerns durch Deckung. Verbündete, die ein Tag sehen können, dürfen außerdem in jedem Initiativedurchgang die Handlung Zielen als Freie Handlung gegen das Ziel durchführen. Die Tags können aufrechterhalten werden, indem der Hacker zu ihrer Aktualisierung eine Einfache Handlung pro Kampfrunde aufwendet. Wenn er ein PI-Tac einsetzt, kann er dessen Gerätestufe zur Anzahl der Ziele addieren, die er taggen darf. Anmerkung: Damit die Verbündeten des Hackers von dieser Handlung profitieren können, müssen sie AROs sehen können.
Übertragung abfangen;Matrixhandlung;Komplexe Handlung;Elektronische Kriegsführung + Intuition;Schleicher;1;Firewall + Logik;Mit dieser Handlung kann der Charakter Matrixübertragungen, die von und zu einem Ziel gesendet werden, abfangen, wenn er eine Marke auf dem Ziel hat. Er kann zusehen, zuhören, mitlesen oder die Übertragung abspeichern, wenn er etwas hat, auf dem er sie speichern kann (zum Beispiel sein Deck).
Verstecken;Matrixhandlung;Komplexe Handlung;Elektronische Kriegsführung + Intuition;Schleicher;Keine;Datenverarbeitung + Intuition;Manchmal wird ein Charakter von einem anderen Icon entdeckt, selbst wenn er auf Schleichfahrt läuft. Mit dieser Handlung kann er dafür sorgen, dass ein Ziel seine Spur verliert. Wenn die Probe gelingt, kann das Ziel ihn nicht mehr entdecken und muss eine neue Matrixwahrnehmungsprobe ablegen, um ihn wiederzu nden. Der Charakter kann sich nicht vor einem Icon verstecken, das eine Marke auf ihm platziert hat, also sollte er diese vor dieser Handlung löschen.
Volle Matrixabwehr;Matrixhandlung;Unterbrechungshandlung;ohne;ohne;Besitzer;ohne;Diese Handlung erlaubt es dem Charakter, in der Matrix auf Volle Abwehr zu gehen. Sie kann jederzeit durchgeführt werden. Wenn der Charakter eine Verteidigungsprobe gegen eine Matrixhandlung ablegt, darf er seine Willenskraft als Bonus zum Würfelpool addieren (oder noch mal addieren, wenn sie bereits Teil des Pools ist). Wenn der Charakter diese Handlung durchführt, wird sein Initiativeergebnis um 10 reduziert, aber die Wirkung hält bis zum Ende der Kampfrunde an
Zielerfassung abschütteln;Matrixhandlung;Einfache Handlung;Elektronische Kriegsführung + Intuition;Datenverarbeitung;Keine;Logik + Sensor;Passive und aktive Zielerfassung mit Sensoren werden in SR5 auf Seite 186 beschrieben. Wenn der Charakter weiß (oder vermutet), dass er als Ziel erfasst wurde, kann er versuchen, diese Erfassung abzuschütteln. Er wählt einen Gegner, der ihn erfasst hat (oder von dem er das vermutet), und legt die Vergleichende Probe ab. Jeder Nettoerfolg senkt die ursprünglichen Nettoerfolge des Gegners bei der aktiven Zielerfassung um 1 und damit auch den Würfelpoolmalus des Charakters bei seinen Verteidigungsproben. Wird der Charakter nur von passiver Zielerfassung erfasst, sinkt für jeden Nettoerfolg bei der Probe das Sensor-Limit des Gegners um 1. Die Rauschunterdrückung der Riggerkonsole des Charakters wird bei dieser Handlung als Würfelpoolbonus addiert.
Zielerfassung erkennen;Matrixhandlung;Freie Handlung;Computer + Logik;Datenverarbeitung;Besitzer;Schwellenwert (2);Passive und aktive Zielerfassung mit Sensoren werden in SR5 auf Seite 186 beschrieben. Eine aktive Zielerfassung sendet WiFi- und andere Signale aus, die Hacker und Rigger erkennen können. Bei der Riggerkonsole, dem Kommlink oder dem Deck, die oder das der Charakter benutzt, muss WiFi aktiviert sein, um diese Handlung durchzuführen. Die Rauschunterdrückung der Riggerkonsole des Charakters wird bei dieser Handlung als Würfelpoolbonus addiert
